Symbol  Prob.   Huffman Code
!       0.0088  01111       
,       0.0022  01101       
.       0.011   10000       
A       0.0813  0010        
B       0.0088  01110       
C       0.0264  10110       
D       0.0308  11001       
E       0.1165  0101        
F       0.0154  10011       
G       0.0154  10100       
H       0.033   11011       
I       0.0286  10111       
J       0.0022  01100       
K       0.0242  10101       
L       0.0484  11110       
M       0.033   11010       
N       0.0549  0000        
O       0.1077  0011        
P       0.0308  11000       
R       0.0505  11111       
S       0.0549  0001        
T       0.1121  0100        
U       0.0418  11101       
V       0.011   10001       
W       0.0132  10010       
Y       0.0374  11100       
